
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    10.0.17.33:49337       derp1i:https           ESTABLISHED
  TCP    10.0.17.33:49707       lb:https               ESTABLISHED
  TCP    10.0.17.33:49846       104.208.203.89:https   ESTABLISHED
  TCP    10.0.17.33:49918       199.165.136.100:https  ESTABLISHED
  TCP    10.0.17.33:49968       yuiadrs-in-f188:5228   ESTABLISHED
  TCP    10.0.17.33:51126       198.252.206.1:https    ESTABLISHED
  TCP    10.0.17.33:51127       server-3-167-99-19:https  ESTABLISHED
  TCP    10.0.17.33:51132       cdn-185-199-109-153:https  ESTABLISHED
  TCP    10.0.17.33:51133       151.101.65.91:https    ESTABLISHED
  TCP    10.0.17.33:51139       yx-in-f94:https        ESTABLISHED
  TCP    100.96.197.13:3389     100.92.252.118:58969   ESTABLISHED
