
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        152 K
Registry                        88 Services                   0     22,308 K
smss.exe                       300 Services                   0        940 K
csrss.exe                      412 Services                   0      4,460 K
wininit.exe                    488 Services                   0      5,392 K
csrss.exe                      496 RDP-Tcp#19                 1      3,264 K
winlogon.exe                   552 RDP-Tcp#19                 1      8,440 K
services.exe                   628 Services                   0      7,580 K
lsass.exe                      636 Services                   0     14,648 K
svchost.exe                    756 Services                   0      3,540 K
svchost.exe                    776 Services                   0     22,216 K
fontdrvhost.exe                800 Services                   0      3,168 K
fontdrvhost.exe                808 RDP-Tcp#19                 1      4,220 K
svchost.exe                    892 Services                   0     12,720 K
svchost.exe                    944 Services                   0      9,900 K
dwm.exe                       1016 RDP-Tcp#19                 1     79,612 K
svchost.exe                    352 Services                   0     90,432 K
svchost.exe                   1128 Services                   0      4,544 K
svchost.exe                   1140 Services                   0     10,732 K
svchost.exe                   1224 Services                   0      3,736 K
svchost.exe                   1260 Services                   0      5,968 K
svchost.exe                   1276 Services                   0      3,280 K
svchost.exe                   1284 Services                   0      5,800 K
svchost.exe                   1292 Services                   0     55,196 K
svchost.exe                   1396 Services                   0      4,052 K
svchost.exe                   1428 Services                   0      4,072 K
svchost.exe                   1444 Services                   0      4,160 K
Memory Compression            1476 Services                   0    103,472 K
svchost.exe                   1520 Services                   0      4,508 K
svchost.exe                   1528 Services                   0      7,996 K
svchost.exe                   1596 Services                   0      8,372 K
svchost.exe                   1620 Services                   0      4,992 K
svchost.exe                   1652 Services                   0      5,384 K
svchost.exe                   1708 Services                   0      9,272 K
svchost.exe                   1744 Services                   0      5,896 K
svchost.exe                   1840 Services                   0     12,444 K
svchost.exe                   1928 Services                   0      7,240 K
svchost.exe                   2020 Services                   0      7,176 K
svchost.exe                   1180 Services                   0     10,944 K
svchost.exe                    796 Services                   0      7,660 K
spoolsv.exe                   1236 Services                   0      5,544 K
svchost.exe                   1764 Services                   0      9,332 K
svchost.exe                    560 Services                   0      6,668 K
svchost.exe                   2096 Services                   0     12,900 K
svchost.exe                   2104 Services                   0      8,772 K
svchost.exe                   2380 Services                   0     13,300 K
svchost.exe                   2440 Services                   0      7,488 K
svchost.exe                   2448 Services                   0     18,092 K
svchost.exe                   2456 Services                   0     14,064 K
qemu-ga.exe                   2560 Services                   0     11,768 K
blnsvr.exe                    2568 Services                   0      6,896 K
VGAuthService.exe             2616 Services                   0      8,008 K
svchost.exe                   2780 Services                   0      8,500 K
svchost.exe                   2804 Services                   0      9,868 K
tailscaled.exe                2996 Services                   0     19,320 K
dllhost.exe                   2580 Services                   0     10,528 K
tailscaled.exe                 952 Services                   0     35,112 K
WmiPrvSE.exe                   904 Services                   0     44,784 K
svchost.exe                    612 Services                   0      7,264 K
SgrmBroker.exe                1040 Services                   0      5,740 K
WmiPrvSE.exe                  3644 Services                   0     10,360 K
svchost.exe                   3708 Services                   0      7,172 K
svchost.exe                   3844 Services                   0      9,008 K
svchost.exe                   3868 Services                   0      9,332 K
svchost.exe                   3952 Services                   0     16,040 K
SecurityHealthService.exe     3992 Services                   0      7,220 K
svchost.exe                   3336 Services                   0      8,484 K
svchost.exe                   3744 Services                   0     10,732 K
sihost.exe                    2356 RDP-Tcp#19                 1     18,952 K
svchost.exe                   2676 RDP-Tcp#19                 1     14,012 K
svchost.exe                   3464 RDP-Tcp#19                 1     22,968 K
svchost.exe                   3972 Services                   0     12,112 K
taskhostw.exe                 2876 RDP-Tcp#19                 1     16,092 K
svchost.exe                   3960 Services                   0      6,900 K
explorer.exe                  3360 RDP-Tcp#19                 1    107,980 K
svchost.exe                   4628 RDP-Tcp#19                 1     16,660 K
ShellExperienceHost.exe       4836 RDP-Tcp#19                 1     19,992 K
SearchUI.exe                  4944 RDP-Tcp#19                 1    147,284 K
RuntimeBroker.exe             5048 RDP-Tcp#19                 1     15,844 K
RuntimeBroker.exe             5100 RDP-Tcp#19                 1     19,976 K
tailscale-ipn.exe             4392 RDP-Tcp#19                 1     16,704 K
